title,score,members,favorites,episodes,status,genres,season,year,members_norm,favorites_norm,final_score
Gintama: The Final,9.05,180884,4637,1,Finished Airing,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",winter,2021,0.04094776252207362,0.04796321318962176,5.447431422608962
One Piece Fan Letter,9.02,146654,2543,1,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2024,0.02923334382828435,0.026029391739727032,5.42321274471803
Kingdom 3rd Season,8.84,131593,2746,26,Finished Airing,['Action'],spring,2020,0.024079068048349785,0.028155736417056845,5.314243127474645
Monogatari Series: Off & Monster Season,8.65,100817,884,14,Finished Airing,"['Comedy', 'Mystery', 'Supernatural']",summer,2024,0.013546700250509918,0.00865202316982476,5.194684478538102
Shiguang Dailiren II,8.64,168317,2138,12,Finished Airing,"['Drama', 'Mystery', 'Suspense']",summer,2023,0.0366470000410672,0.021787176989389225,5.196429826558676
Golden Kamuy 3rd Season,8.43,197662,1621,12,Finished Airing,"['Action', 'Adventure']",fall,2020,0.04668964148334725,0.016371806555007383,5.0721281813540875
Kimi ni Todoke 3rd Season,8.43,110092,791,5,Finished Airing,"['Drama', 'Romance']",summer,2024,0.01672085255506427,0.007677884967895338,5.06333189588395
Tian Guan Cifu,8.42,174991,6150,11,Finished Airing,"['Action', 'Adventure', 'Drama', 'Fantasy']",fall,2020,0.03893102079369208,0.06381128952853805,5.0713044486277035
Girls Band Cry,8.36,132995,3096,13,Finished Airing,['Drama'],spring,2024,0.024558869830666248,0.031821847929694454,5.02691299464712
Fruits Basket: Prelude,8.36,129304,874,1,Finished Airing,"['Drama', 'Romance']",winter,2022,0.02329571121545222,0.008547277126606542,5.023106019372854
